City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
478,Palauig,PH,86.31,clear sky,15.435,119.9045,Alperi Botique Resort
479,Kainantu,PG,75.09,overcast clouds,-6.2887,145.8655,Sylvester buku
486,Pandan,PH,84.99,scattered clouds,14.0453,124.1694,Bonifacio Lodge
488,Alyangula,AU,85.87,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
489,Tuy Hoa,VN,81.73,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
490,Manokwari,ID,78.93,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
491,Iralaya,HN,79.99,overcast clouds,15.0,-83.2333,Iglesia morava renovada
495,Bubaque,GW,77.52,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
499,Ahuimanu,US,83.34,clear sky,21.4447,-157.8378,Paradise Bay Resort
501,Tochtepec,MX,78.31,scattered clouds,18.8333,-97.8167,Hidrocell adhesivos
506,Tianpeng,CN,76.73,few clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
507,Potam,MX,84.79,clear sky,27.6,-110.3833,Ejido La Pimienta
511,Mayumba,GA,77.76,overcast clouds,-3.432,10.6554,LIKWALE LODGE
516,Goure,NE,83.43,clear sky,13.9835,10.2704,Hotel Name
519,Celestun,MX,83.37,clear sky,20.8667,-90.4,Posada Lilia
520,Colon,PA,81.14,few clouds,9.3592,-79.9014,Sand Diamond Hotel
527,Douglas,US,88.68,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
528,Moerai,PF,78.91,clear sky,-22.4333,-151.3333,Le Manotel
534,Ban Dung,TH,77.11,light rain,17.699,103.2596,Heuan Na Khee
535,Gigmoto,PH,84.54,broken clouds,13.7796,124.39,Cj's Travellers Inn
536,Muri,IN,80.17,broken clouds,23.3667,85.8667,Sanyasi Lodge
537,Nova Vicosa,BR,75.15,broken clouds,-17.8919,-39.3719,Pousada Porto do Sol
540,Ixtapa,MX,78.22,clear sky,20.7,-105.2,hotel la terminal
549,Ayorou,NE,86.27,clear sky,14.7308,0.9174,Hotel Amenokal
552,Pochutla,MX,84.81,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
554,Ewa Beach,US,81.99,overcast clouds,21.3156,-158.0072,Base Lodging
555,Sarankhola,BD,76.28,overcast clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
557,Mranggen,ID,84.04,few clouds,-7.0268,110.5158,Bushro Adventure - Toko Alat Outdoor Demak
558,Mogadishu,SO,81.0,light rain,2.0371,45.3438,Hotel Juba
560,Atambua,ID,81.39,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
564,Kieta,PG,85.57,few clouds,-6.2167,155.6333,Uruna Bay Retreat
569,Bandarbeyla,SO,82.24,broken clouds,9.4942,50.8122,JABIR HOTEL
