City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Tuatapere,NZ,-46.1333,167.6833,51.69,68,12,3.98,few clouds
120,Iqaluit,CA,63.7506,-68.5145,33.53,80,100,4.61,overcast clouds
121,Aklavik,CA,68.2191,-135.0107,39.87,77,100,5.73,overcast clouds
122,Glendive,US,47.1053,-104.7125,56.48,43,20,19.57,few clouds
123,Debica,PL,50.0515,21.4114,48.49,75,34,5.21,scattered clouds
124,Inhambane,MZ,-23.865,35.3833,67.42,89,17,6.67,light rain
125,Quatre Cocos,MU,-20.2078,57.7625,73.51,81,43,8.5,light rain
126,Banamba,ML,13.55,-7.45,89.1,11,35,7.45,scattered clouds
127,Port Elizabeth,ZA,-33.918,25.5701,56.32,97,0,3.44,clear sky
128,Baykit,RU,61.67,96.37,35.46,72,44,3.85,scattered clouds
129,Avarua,CK,-21.2078,-159.775,86.05,74,75,2.3,broken clouds
130,Bilibino,RU,68.0546,166.4372,32.05,83,6,3.22,clear sky
131,Meulaboh,ID,4.1363,96.1285,79.77,87,85,2.86,overcast clouds
132,Oistins,BB,13.0667,-59.5333,80.69,74,40,11.5,scattered clouds
133,Havelock,US,34.8791,-76.9013,60.76,54,0,5.01,clear sky
134,Xuanhua,CN,40.6103,115.0447,56.19,57,83,5.88,broken clouds
135,San Patricio,US,28.017,-97.5169,86.18,79,0,16.22,clear sky
136,Rundu,NA,-17.9333,19.7667,55.31,41,0,5.35,clear sky
137,Mar Del Plata,AR,-38.0023,-57.5575,54.95,82,84,8.01,broken clouds
138,Gewane,ET,10.1664,40.6453,83.5,36,60,2.59,broken clouds
139,Chapais,CA,49.7834,-74.8492,58.78,74,100,6.6,overcast clouds
140,Rocha,UY,-34.4833,-54.3333,55.56,94,100,2.98,overcast clouds
141,Acapulco,MX,16.8634,-99.8901,82.22,74,100,13.8,overcast clouds
142,Shagonar,RU,51.5333,92.8,39.76,48,4,1.34,clear sky
143,Kudligi,IN,14.9,76.3833,77.23,77,100,18.25,overcast clouds
144,Sandwick,GB,60.0,-1.25,49.82,87,100,14.97,light rain
145,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,58.12,98,14,4.9,few clouds
146,Georgetown,MY,5.4112,100.3354,85.93,93,20,4.61,haze
147,Ust-Kuyga,RU,70.0167,135.6,18.19,64,47,5.39,scattered clouds
148,Linqiong,CN,30.4159,103.4609,69.62,69,65,2.91,broken clouds
149,Kamenka,RU,51.3223,42.7678,39.65,79,100,17.67,overcast clouds
150,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,88,75,2.17,broken clouds
151,Agira,IT,37.6562,14.5216,52.92,87,31,3.62,scattered clouds
152,Upernavik,GL,72.7868,-56.1549,25.03,96,100,3.2,light snow
153,Sarishabari,BD,24.7333,89.8333,76.46,92,100,11.88,overcast clouds
154,Farafangana,MG,-22.8167,47.8333,71.31,90,2,5.75,clear sky
155,Mount Isa,AU,-20.7333,139.5,71.37,78,100,9.22,overcast clouds
156,Kalmunai,LK,7.4167,81.8167,81.99,76,100,1.79,overcast clouds
157,Dwarka,IN,22.2394,68.9678,81.81,75,42,13.15,scattered clouds
158,Khatanga,RU,71.9667,102.5,33.58,99,100,17.18,overcast clouds
159,West Bay,KY,19.3667,-81.4167,83.07,79,20,5.75,few clouds
160,Kedougou,SN,12.5579,-12.1743,82.98,78,0,4.61,clear sky
161,Fortuna,US,40.5982,-124.1573,54.09,77,47,5.01,scattered clouds
162,Bulembu,SZ,-25.9667,31.1333,47.39,95,0,4.0,clear sky
163,Sandakan,MY,5.8402,118.1179,78.48,94,40,0.0,scattered clouds
164,Coquimbo,CL,-29.9533,-71.3436,58.73,82,0,2.3,clear sky
165,Cozumel,MX,20.5083,-86.9458,82.94,85,5,8.01,clear sky
166,Port Macquarie,AU,-31.4333,152.9167,69.89,62,29,4.25,scattered clouds
167,Severo-Kurilsk,RU,50.6789,156.125,39.76,80,33,14.9,scattered clouds
168,Baruun-Urt,MN,46.6806,113.2792,37.09,26,100,13.18,overcast clouds
169,Ternate,ID,0.8,127.4,83.41,75,100,4.09,light rain
170,Nadym,RU,65.5333,72.5167,36.97,86,27,9.55,scattered clouds
171,Krasnogorodsk,RU,56.8357,28.2822,34.43,72,17,3.22,few clouds
172,Norman Wells,CA,65.282,-126.8329,50.04,27,20,18.41,few clouds
173,Florence,IT,43.7667,11.25,60.35,92,0,1.14,clear sky
174,Chumikan,RU,54.7183,135.315,35.96,84,69,11.16,broken clouds
175,Sola,VU,-13.8833,167.55,81.54,78,54,24.65,broken clouds
176,Port Hawkesbury,CA,45.6169,-61.3485,43.97,60,0,3.44,clear sky
177,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,71.73,98,98,2.62,overcast clouds
178,Lagoa,PT,39.05,-27.9833,62.06,87,96,0.85,overcast clouds
179,Rudnaya Pristan,RU,44.3614,135.8116,67.73,26,0,7.9,clear sky
180,Zhaoyuan,CN,37.3592,120.3964,52.39,78,100,5.03,overcast clouds
181,Dolores,AR,-36.3132,-57.6792,51.49,94,100,6.82,overcast clouds
182,Victoria,HK,22.2855,114.1577,79.03,89,100,10.0,overcast clouds
183,Turukhansk,RU,65.8167,87.9833,34.34,88,87,15.21,overcast clouds
184,Belmonte,BR,-15.8631,-38.8828,73.53,83,15,10.74,few clouds
185,Sayyan,YE,15.1718,44.3244,62.58,33,0,8.99,clear sky
186,Porto Santo,PT,33.072,-16.3415,62.98,88,40,13.8,scattered clouds
187,Mareeba,AU,-17.0,145.4333,78.44,86,100,9.48,overcast clouds
188,Boende,CD,-0.2167,20.8667,72.88,87,76,1.48,broken clouds
189,Boundiali,CI,9.5217,-6.4869,75.9,80,87,2.28,overcast clouds
